09/01/2009, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 210, 210
10/13/2009, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
12/08/2009, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 350, 350
12/15/2009, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 430, 430
12/22/2009, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 1200, 1200
01/19/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 1100, 1100
01/26/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
02/09/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 430, 430
02/23/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
03/02/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 210, 210
03/09/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
04/06/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 580, 580
04/13/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
04/20/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
04/27/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
05/18/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
06/08/2010, 'SMB-6-06', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
